country,date,description,hazard,importer,incidents,link,name,remedy,retailer,units
,,,,,,https://cpsc.gov/Recalls/2008/North-American-Breaker-Co-Recalls-Counterfeit-Circuit-Breakers-Due-to-Fire-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Gap-Outlet-Recalls-Boys-Jackets-Drawstring-at-Waist-Poses-Entrapment-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Pacific-Cycle-Recalls-Childrens-Trailer-Bicycles-Can-Detach-from-Adult-Bicycle-and-Injure-Children,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Toy-Wagons-Recalled-by-Tricam-Industries-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/World-Dryer-Recalls-to-Repair-Hand-and-Hair-Dryers-Due-to-Electric-Shock-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/McQuay-Recalls-Air-ConditionersHeat-Pumps-Following-Fires,,,,
,,,,,,https://cpsc.gov/Recalls/2008/ATVs-Recalled-By-KYMCO-Due-to-Suspension-Failure-Riders-Can-Lose-Control-of-Vehicle,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Pressure-Cookers-Recalled-By-Manttra-Inc-Due-to-Burn-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Christmas-Candle-Sets-Recalled-By-Specialty-Merchandise-Corp-Due-to-Fire-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Super-Magnet-Toys-Recalled-by-MTC-Due-to-Aspiration-and-Intestinal-Hazards,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Lenox-Recalls-Covered-Warmer-Dishes-Due-to-Fire-and-Burn-Hazards,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Girls-Hooded-Sweatshirts-with-Drawstrings-Recalled-by-Liberty-Apparel-Due-to-Strangulation-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Cannondale-Recalls-Scalpel-Mountain-Bikes-Frame-Failure-Poses-Crash-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Teething-Rings-Recalled-by-Empire-Silver-Due-to-Choking-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Bicycle-Helmets-Recalled-by-Specialized-Due-to-Failing-Helmet-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Tot-Tower-Blocks-Recalled-by-eeBoo-Corp-Childrens-Toy-Can-Pose-Choking-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/American-Honda-Motor-Corp-Recalls-Lawn-Mowers-Due-to-Laceration-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/AAFES-Recalls-Soldier-Bear-Toys-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Stuffer-Bear-Recalled-Due-to-Choking-Hazard-Sold-Exclusively-at-Victorias-Secret-Internet-site,,,,
,,,,,,https://cpsc.gov/Recalls/2008/DeWALT-Recalls-Cordless-Drills-due-to-Fire-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Bombardier-Recreational-Products-Recalls-Snowmobiles-Due-to-Crash-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Discount-School-Supply-Recalls-Measuring-Chart-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Codee-International-Corp-Recalls-Childrens-Jewelry-Due-to-Risk-of-Lead-Exposure,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Fishing-Games-Sold-at-Grocery-Stores-Recalled-by-Far-East-Brokers-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Venmar-Ventilation-Inc-Recalls-Heat-Recovery-Ventilators-Due-to-Fire-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Full-Body-Safety-Harnesses-Recalled-by-Gorilla-Due-to-Fall-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Childrens-Toys-Recalled-by-Dollar-Tree-Stores-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Hooker-Furniture-Recalls-Bunk-Beds-Due-to-Strangulation-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/ROMI-Recalls-SCUBA-Regulators-Due-to-Drowning-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Childrens-Water-Globes-Recalled-Due-to-Violation-of-Lead-Paint-Standard-Sold-Exclusively-at-Jo-Ann-Fabric-and-Craft-Stores,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Infantino-Recalls-Infant-Teethers-Due-to-Choking-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/AutoZone-Recalls-Booster-Cables-Due-to-Electrical-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/AtHome-America-Recalls-Candles-Due-to-Fire-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Gamenamics-Inc-Recalls-Air-Powered-Hockey-Tables-Due-to-Burn-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Fitness-Quest-Recalls-Eclipse-Elliptical-Trainers-Due-to-Fall-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Horseshoe-Magnets-Recalled-by-United-Scientific-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/QVC-Recalls-Electric-Toasters-Due-to-Fire-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Sauder-Woodworking-Recalls-TV-Stands-Due-to-TV-Tip-over-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Outdoor-Vacuums-with-Honda-Engines-Recalled-By-Billy-Goat-Industries-Inc-Due-to-Fire-Hazard,,,,
Pakistan,"December 6, 2007","The recalled two-piece clothing set has olive-colored knit pants with a fully-tunneled waist drawstring and a pink short-sleeved top with necktie. The set was sold in the following girls' sizes: 4/5, 6/6X, 7/8, and 10/12.",The recalled pants have a drawstring at the waist that can pose an entrapment or entanglement hazard to children.,"Millennium Apparel Group, of New York, N.Y.",None reported.,https://cpsc.gov/Recalls/2008/Basic-Editions-Girls-Clothing-Sets-Recalled-by-Kmart-Drawstrings-at-Waist-Pose-Entrapment-Hazard,Basic Editions-brand girls' clothing sets,,Kmart stores nationwide during July 2007 for about $17 per set,"About 13,000"
,,,,,,https://cpsc.gov/Recalls/2008/The-Home-Depot-Recalls-Holiday-Figurines-Due-to-Lead-Paint-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Polaris-Recalls-Certain-Ranger-Utility-Vehicles-Due-to-Fire-and-Burn-Hazards,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Starbucks-Recalls-Coffee-Mugs-Due-To-Burn-Hazard-Product-Manufactured-by-lab921,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Nautilus-Recalls-Bowflex-Ultimate-2-Home-Gyms-Due-to-Risk-of-Injury,,,,
,,,,,,https://cpsc.gov/Recalls/2008/TKS-Childrens-Pants-Recalled-by-Sears-Drawstrings-at-Waist-Pose-Entrapment-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Childs-Death-Leads-to-Recall-of-Entertainment-Centers-by-Ameriwood-Units-Can-Collapse,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Childrens-Sunglasses-Recalled-by-FGX-International-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Bell-Racing-Recalls-Collectible-Mini-Racing-Helmets-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Boys-Hooded-Sweatshirts-with-Drawstrings-Recalled-by-Scope-Apparel-Due-to-Strangulation-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Stokke-Announces-Recall-of-Certain-Xplory-Strollers-Due-to-Front-Wheel-Detachment,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Collins-International-Co-Recalls-Oscillating-Ceramic-Heaters-Sold-at-Menards-Retail-Stores-Due-To-Fire-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/RC2-Recalls-Potty-Training-Seats-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/RC2-Recalls-The-First-Years-Childrens-Feeding-Seats-Due-to-Fall-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Hairstyling-Irons-Recalled-by-Farouk-Systems-Inc-Due-to-Fire-and-Burn-Hazards,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Childrens-Full-Zip-Hooded-Sweatshirts-with-Drawstrings-Recalled-for-Strangulation-Hazard-By-Bon-Ton,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Old-Navy-Recalls-Boys-Jackets-Drawstring-at-Waist-Poses-Entrapment-Hazard,,www.oldnavy.com,,
,,,,,,https://cpsc.gov/Recalls/2008/Slipcovers-Used-With-Boppy-Pillows-Recalled-Due-to-Choking-Hazard-and-Risk-of-Lead-Exposure,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Reeves-International-Inc-Recalls-Holiday-Ornaments-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/American-Greetings-Corp-Recalls-Confetti-Bursts-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Elmo-USA-Corp-Recalls-Visual-Presenters-Due-to-Fire-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/General-Electric-Recalls-Microwave-Combo-Wall-Ovens-Due-to-Fire-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/ICON-Health--Fitness-Recalls-Inversion-Benches-Due-to-Fall-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Baja-Motorsports-Recalls-To-Repair-Youth-ATVs-Due-To-Lack-of-Equipment-Poses-Risk-of-Injury-To-Riders,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Miter-Saws-Recalled-by-WMH-Tool-Group-Due-to-Laceration-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Childrens-Snow-and-Sand-Castle-Kits-by-Paricon-Recalled-Due-to-Sharp-Edges-Sold-Exclusively-at-LL-Bean,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Flashing-Pacifiers-Recalled-By-Sailing-US-International-Corp-Due-to-Choking-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Cooper-Lighting-Recalls-Fluorescent-Shop-Lights-Due-to-Electrical-Shock-Hazard,,www.cooperlighting.com,,
,,,,,,https://cpsc.gov/Recalls/2008/La-Femme-NY-Inc-Recalls-Childrens-Necklace-and-Earring-Sets-Due-to-Risk-of-Lead-Exposure,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Cherrydale-Fundraising-Recalls-Bracelets-Due-to-Risk-of-Lead-Exposure,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Pure-Allure-Recalls-Metal-Jewelry-Sold-at-Michaels-Stores-Due-to-Risk-of-Lead-Exposure-to-Children,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Discount-School-Supply-Recalls-Paint-Brushes-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Childrens-Pencil-Pouches-Recalled-by-Raymond-Geddes--Co-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Childrens-Metal-Jewelry-Recalled-by-Colossal-Jewelry--Accessories-Due-to-Risk-of-Lead-Exposure,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Meijer-Inc-Recalls-Firepits-Product-Can-Tip-Over-and-Pose-a-Fire-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Iceberg-Enterprises-LLC-Recalls-Folding-Chairs-Due-to-Fall-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Childrens-Sunglasses-Recalled-by-Dollar-General-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Childrens-Metal-Jewelry-Recalled-by-Buy-Rite-Due-to-Risk-of-Lead-Exposure,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Nike-Recalls-Football-Helmet-Chin-Straps-Which-Can-Break-and-Pose-Risk-of-Serious-Injury,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Bon-Ton-Recalls-Childrens-Bath-Robes-Due-to-Burn-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Metal-Jewelry-Sold-by-Family-Dollar-Stores-Recalled-Due-to-Risk-of-Lead-Exposure-to-Children,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Birch-Bark-Wrapped-Candles-Recalled-by-Roost-Due-to-Fire-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Schylling-Associates-Recalls-Collectable-Toy-Robot-Due-To-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Childrens-Wooden-Storage-Rack-Recalled-By-Jetmax-International-Following-Childs-Death,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Black--Decker-Brand-Toasters-Recalled-By-Applica-Consumer-Products-Inc-Due-to-Fire-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Coby-Electronics-Recalls-DVDCDMP3-Players-Due-to-Fire-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Packaged-Terminal-Air-Conditioners-and-Heat-Pumps-Recalled-by-Carrier-Due-to-Fire-Hazard,,,,
,,,"
@import url(""https://cpsc.gov/modules/system/system.base.css?pnnyds"");
",,,https://cpsc.gov/Recalls/2008/Cribs-Sold-By-Bassettbaby-Recalled-Due-to-Entrapment-and-Strangulation-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Spin-Master-Recalls-Aqua-Dots---Children-Became-Unconscious-After-Swallowing-Beads,,,,
,,,,,,https://cpsc.gov/Recalls/2008/American-Honda-Motor-Corp-Recalls-Lawn-Mowers-Due-to-Fire-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Yamaha-Recalls-AC-Power-Adaptors-Due-to-Electric-Shock-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Curious-George-Plush-Dolls-Recalled-By-Marvel-Toys-Due-to-Risk-of-Lead-Exposure,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Northern-Tool--Equipment-Recalls-Big-Red-Wagons-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/International-Sourcing-Ltd-Recalls-Toy-Dragster-and-Funny-Car-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Swimways-Corp-Recalls-Skippy-Pool-Toys-Due-to-Laceration-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Toy-Cars-Recalled-by-Dollar-General-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Polaris-Industries-Inc-Recalls-Certain-Snowmobiles-Due-to-Fire-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/-Ugly-Teeth-Recalled-By-Amscan-Inc-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Pearl-like-Bead-Attachment-Sold-with-Girls-Gift-Sets-Recalled-Due-to-Violation-of-Lead-Paint-Standard-Sold-exclusively-at-Limited-Too-Stores,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Toys-R-Us-Recalls-Elite-Operations-Toys-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Schylling-Associates-Recalls-Duck-Family-Collectable-Toy-Due-To-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Additional-Spinning-Top-Recalled-by-Schylling-Associates-Due-To-Violation-of-Lead-Paint-Standard,,,,recalled
,,,,,,https://cpsc.gov/Recalls/2008/Bombardier-Recreational-Products-Inc-Recalls-Snowmobiles-Due-to-Crash-and-Fire-Hazards,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Toy-Figures-Recalled-by-Henry-Gordy-International-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/DecoPac-Inc-Recalls-Football-Bobble-Head-Cake-Decorations-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Bombardier-ATV-Recall,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Blastrac-Recalls-to-Repair-Concrete-Grinders-Due-to-Injury-Risk-from-Ejected-Parts,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Digital-Color-Printers-Recalled-by-Oki-Data-Americas-Due-to-Risk-of-Electrical-Shock,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Connecticut-Electric-Recalls-Counterfeit-Square-D-Circuit-Breakers-Due-To-Fire-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Alltrade-Tools-Recalls-Power-Tool-Battery-Chargers-Due-to-Burn-and-Laceration-Hazards,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Family-Dollar-Stores-Recalls-Halloween-Pails-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Ski-Boards-Recalled-by-Line-Skis-Due-to-Fall-Hazard-from-Binding-Failure,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Home-Automation-Inc-Recalls-Wireless-Receivers-Due-to-Failure-to-Receive-Security-Signal,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Target-Recalls-Home-Patio-Sets-Due-to-Fall-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Childrens-Metal-Jewelry-Recalled-By-WeGlow-International-Due-to-Risk-of-Lead-Exposure,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Dollar-Tree-Stores-Inc-Recalls-Childrens-Jewelry-Due-to-Risk-of-Lead-Exposure,,,,
,,,,,,https://cpsc.gov/Recalls/2008/SimplyFun-Recalls-Ribbit-Board-Games-Due-to-Risk-of-Lead-Exposure,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Cybex-International-Inc-Recalls-Treadmills-Previously-Repaired-Due-to-Fire-Hazard,,,,announced
,,,,,,https://cpsc.gov/Recalls/2008/Schylling-Associates-Recalls-Dizzy-Ducks-Music-Box-Due-To-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Fisher-Price-Recalls-Go-Diego-Go-Boat-Toys-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Jo-Ann-Stores-Expands-Recall-of-Childrens-Toy-Garden-Tools-Due-to-Violation-of-Lead-in-Paint-Standard,,,,"toy rakes
toy watering cans"
,,,,,,https://cpsc.gov/Recalls/2008/Laugh--Learn-Kitchen-Toys-Recalled-by-Fisher-Price-Due-To-Choking-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Hunter-Fan-Recalls-Humidifiers-for-Fire-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Note-Change-of-phone-number-and-website,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Additional-Injuries-Prompt-Re-announcement-of-Sportsstuff-Recall-of-Air-Pumps,,,,announced
,,,,,,https://cpsc.gov/Recalls/2008/ATVs-Recalled-By-KTM-North-America-Due-to-Brake-Failure1,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Payless-ShoeSource-Recalls-Girls-Boots-Due-to-Fall-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/The-Gymboree-Corp-Recalls-Toy-Swords-Due-to-Breakage-and-Laceration-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/ATVs-Recalled-By-KTM-North-America-Due-to-Brake-Failure,,,,
,,,"""Cars""",,,https://cpsc.gov/Recalls/2008/Game-Pieces-Sold-with-Cars-Backpacks-Recalled-By-Global-Design-Concepts-Detached-Magnets-Pose-Aspiration-and-Intestinal-Hazards,,"""Cars""",,
,,,,,,https://cpsc.gov/Recalls/2008/Kong-Maxx-Ladder-Stands-Sold-at-Gander-Mountain-Recalled-Due-to-Fall-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Reynolds-Recalls-Bicycle-Forks-Due-to-Fall-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Dunkin-Donuts-Recalls-Glow-Sticks-Due-to-Choking-and-Strangulation-Hazards,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Yamaha-Recalls-Snowmobiles-Due-to-Risk-of-Injury-and-Death-from-Steering-Problem,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Procycle-Group-Inc-Recalls-Bicycles-Due-to-Fall-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Alberts-Recalls-Halloween-Skull-Pails-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Antioch-Publishing-Recalls-Additional-Bookmarks-Due-to-Violation-of-Lead-Paint-Standard,,,,recalled
,,,,,,https://cpsc.gov/Recalls/2008/Plow--Hearth-Recalls-Aluminum-Chimeneas-Due-to-Fire-and-Burn-Hazards,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Ross-Stores-Recalls-Turtle-Sprinklers-Due-to-Laceration-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/JC-Penney-Recalls-Breyer-Stirrup-Ornaments-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/JC-Penney-Recalls-Shag-Rugs-Due-to-Fire-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Formula-Brake-USA-Recalls-Disc-Brakes-for-Bicycles-Due-to-Risk-of-Failure,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Fluorescent-Ceiling-Light-Fixtures-Sold-Exclusively-at-Home-Depot-Recalled-by-Lithonia-Lighting-Due-to-Shock-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Flaghouse-Inc-Recalls-Kidnastics-Balance-Beams-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Collections-Etc-Inc-Announces-Recall-of-Double-Hammocks-Due-to-Fall-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Fisher-Controls-International-Inc-Recalls-Gas-Regulators-For-Leak-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Starbucks-Recalls-Childrens-Plastic-Cups-Due-to-Choking-and-Laceration-Hazards,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Kahoot-Products-Inc-Recalls-Cub-Scouts-Totem-Badges-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Riddell-Recalls-Collectible-Mini-Racing-Helmets-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Cracker-Barrel-Old-Country-Store-Recalls-Travel-Art-Sets-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/JC-Penney-Recalls-Disney-Winnie-the-Pooh-Play-Sets-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Bendable-Dinosaur-Toys-Recalled-by-Kipp-Brothers-for-Excessive-Lead,,,,
,,,,,,https://cpsc.gov/Recalls/2008/JC-Penney-Recalls-Deluxe-Art-Sets-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Key-Chains-Recalled-by-Dollar-General-Due-to-Risk-of-Lead-Exposure,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Antioch-Publishing-Recalls-Bookmarks-and-Journals-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Sports-Authority-Recalls-Aluminum-Water-Bottles-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Timberland-Recalls-Steel-Toe-Boots-Due-to-Foot-Injury-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/P3-International-Recalls-IonizAir-Air-Purifiers-Due-to-Risk-of-Fire,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Salton-Inc-and-QVC-Recall-Electric-Toasters-Due-to-Fire-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Target-Recalls-Plush-Boys-Rattles-Due-to-Choking-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Honeywell-Recalls-Gas-Valves-Used-in-Decorative-Fireplaces-and-Stoves-Due-To-Burn-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/KB-Toys-Recalls-Wooden-Toys-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Dollar-General-Recalls-Tumblers-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Razor-USA-Recalls-E300-Electric-Scooters-Handlebars-Can-Detach-Causing-Loss-of-Control,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Toshiba-Recalls-AC-Adapters-sold-with-Portable-DVD-Players-Due-to-Burn-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Huffy-Recalls-Bicycles-Due-To-Cranks-Falling-Off-Riders-Can-Lose-Control-of-Bike,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Eveready-Battery-Co-Recalls-Toy-Flashlights-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Christmas-Tree-Shops-Recalls-Glitter-Candles-Due-to-Fire-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Kids-II-Recalls-Baby-Einstein-Color-Blocks-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2007/Childrens-Toy-Rakes-Sold-Exclusively-at-Jo-Ann-Fabric-and-Craft-Stores-Recalled-Due-to-Violation-of-Lead-in-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Deere--Company-Recalls-Utility-Vehicles-Due-to-Injury-Hazard,,,,
,,,,,,https://cpsc.gov/Recalls/2007/TOBY-NYC-Expands-Childrens-Metal-Jewelry-Recall-Due-to-Risk-of-Lead-Exposure,,,,recalled
,,,,,,https://cpsc.gov/Recalls/2007/Risk-of-Impact-Injury-Prompts-Recall-of-Estes-Cox-Model-Rockets,,,,
,,,,,,https://cpsc.gov/Recalls/2007/Target-Recalls-Childrens-Toy-Gardening-Tools-and-Chairs-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2008/Guidecraft-Inc-Recalls-Childrens-Puppet-Theaters-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2007/RC2-Recalls-Knights-of-the-Sword-Toys-Due-to-Violation-of-Lead-Paint-Standard,,,,
,,,,,,https://cpsc.gov/Recalls/2007/Childrens-Spinning-Wheel-Metal-Necklaces-Recalled-By-Rhode-Island-Novelty-Due-to-Risk-of-Lead-Exposure,,,,
,"September 27, 2007",,,,,https://cpsc.gov/Recalls/2007/Kolcraft-Retira-del-Mercado-Cunas-Portatiles-Tras-la-Muerte-de-Un-Nino-de-10-Meses,,,,
,,,,,,https://cpsc.gov/Recalls/2007/Lan-Enterprises-Recalls-Doll-Strollers-After-Childs-Finger-Tip-was-Severed-Product-Also-Poses-an-Entrapment-Hazard-to-Young-Children,,,,
